"gene_list","list","odds_ratio","p_value","lower_CI","upper_CI","BH_p_values"
"gene list 1","MIR137 List",0.562460013298166,3.07885193143928e-05,0.415169651527055,0.748745088275087,3.07885193143928e-05
"gene list 2","pLI09 List",0.446359146065571,7.0339478844e-09,0.323753727433482,0.60300560622386,1.40678957688e-08
"gene list 3","RBFOX2 List",0.510385532342174,2.85866091837125e-06,0.368899431328365,0.691591421354158,3.81154789116167e-06
"gene list 4","RBFOX3 List",0.422319053454961,1.36720842511744e-09,0.303231002937453,0.575453973411386,5.46883370046977e-09
