"gene_list","list","odds_ratio","p_value","lower_CI","upper_CI","BH_p_values"
"gene list 1","MIR137 List",0.661208600983642,0.0093475533336066,0.470194828323422,0.910136758740754,0.0093475533336066
"gene list 2","pLI09 List",0.447864993157773,1.18717369346076e-06,0.3044617074625,0.639692104347395,4.74869477384305e-06
"gene list 3","RBFOX2 List",0.52388895142446,0.000141313980069475,0.356067386341949,0.748470560584026,0.000282627960138949
"gene list 4","RBFOX3 List",0.562104104392566,0.000279906389101541,0.395144831990016,0.781106139315783,0.000373208518802054
