"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",0.993940439550253,0.121490524573155,8.18121777844291,2.80989545289857e-16
"cadd",-0.0987059997790886,0.00614331857333659,-16.0672116545437,4.33135917669588e-58
"MAF_scaled",0.122994044986883,0.0180375759742033,6.8187679521231,9.18245792441888e-12
