"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.38361676574522,0.126797087683769,-10.9120547720776,1.00948427024651e-27
"cadd",0.0520209182023061,0.00520473420437419,9.99492311414988,1.60411671208664e-23
"MAF_scaled",-0.0820570669740697,0.0184706869208789,-4.44255632319305,8.88963526800904e-06
