"gene_list","list","odds_ratio","p_value","lower_CI","upper_CI","BH_p_values"
"gene list 1","MIR137 List",0.448148119185174,3.06820081332284e-29,0.391782672497916,0.513414029156245,1.22728032532914e-28
"gene list 2","pLI09 List",3.38695809393225,7.41981609353141e-26,2.58674534262584,4.51074476788056,1.48396321870628e-25
"gene list 3","RBFOX2 List",1.79697979244304,3.9858383268338e-08,1.4369764662618,2.2704696880911,5.31445110244507e-08
"gene list 4","RBFOX3 List",1.50730662451642,2.3797830472241e-05,1.2371751256219,1.84980788048784,2.3797830472241e-05
