"gene_list","list","odds_ratio","p_value","lower_CI","upper_CI","BH_p_values"
"gene list 1","MIR137 List",0.669174797037764,0.00074300369387645,0.519615269061174,0.851926401994162,0.00074300369387645
"gene list 2","pLI09 List",0.482837660006047,2.83547726485076e-09,0.366012069537075,0.627637754851229,1.1341909059403e-08
"gene list 3","RBFOX2 List",0.54574802265768,1.90393961875136e-06,0.411862870031172,0.712215178871722,3.80787923750273e-06
"gene list 4","RBFOX3 List",0.588715948313034,7.08664803212148e-06,0.455128504777904,0.752368000654338,9.44886404282863e-06
