"gene_list","list","odds_ratio","p_value","lower_CI","upper_CI","BH_p_values"
"gene list 1","MIR137 List",0.742553872155785,0.047189029974223,0.540602912497461,1.00183261689894,0.047189029974223
"gene list 2","pLI09 List",0.509266237430518,1.92705964660966e-05,0.356813175179743,0.709334714220937,7.70823858643863e-05
"gene list 3","RBFOX2 List",0.545838845618909,0.00026242881299594,0.377160887097027,0.769136569113094,0.00052485762599188
"gene list 4","RBFOX3 List",0.653129780870294,0.00495932747570319,0.47274106309327,0.885454015984821,0.00661243663427092
