"gene_list","list","odds_ratio","p_value","lower_CI","upper_CI","BH_p_values"
"gene list 1","MIR137 List",0.773480908692961,0.017980166521213,0.617857698887871,0.960001226653531,0.017980166521213
"gene list 2","pLI09 List",0.455365775495598,1.67451128785851e-11,0.349108510657635,0.585913038291201,6.69804515143405e-11
"gene list 3","RBFOX2 List",0.542494956048185,2.58806655033036e-07,0.416523572870245,0.697143291113674,5.17613310066073e-07
"gene list 4","RBFOX3 List",0.579849945051818,1.09982777445167e-06,0.454941082551593,0.731168630901296,1.46643703260222e-06
