"gene_list","list","odds_ratio","p_value","lower_CI","upper_CI","BH_p_values"
"gene list 1","MIR137 List",0.809436690157948,0.157757885735693,0.599035856884265,1.07673158409383,0.157757885735693
"gene list 2","pLI09 List",0.629202857197257,0.00171311896886862,0.457171580352597,0.850059509615245,0.00342623793773723
"gene list 3","RBFOX2 List",0.570770980561469,0.000448954567691693,0.400126649441278,0.794566927111394,0.00179581827076677
"gene list 4","RBFOX3 List",0.699783341389473,0.0151834049461571,0.51410418648122,0.936645874782708,0.0202445399282095
