"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.93998667056635,0.169899577169543,-11.4184314221714,3.38284292421132e-30
"cadd",-0.00755081549082858,0.00742208798827709,-1.01734383946334,0.308989888340119
"MAF_scaled",-0.0178379479170118,0.0248257758092601,-0.718525296210813,0.472433456280372
