"gene_list","list","odds_ratio","p_value","lower_CI","upper_CI","BH_p_values"
"gene list 1","MIR137 List",0.651763174050361,1.00489645826493e-06,0.541491994798734,0.779822649049201,1.00489645826493e-06
"gene list 2","pLI09 List",0.494029664885256,2.97409687941867e-15,0.405369991392986,0.597753469866359,1.18963875176747e-14
"gene list 3","RBFOX2 List",0.591766261702559,8.20828089784391e-09,0.486053719235784,0.71543014471933,1.09443745304586e-08
"gene list 4","RBFOX3 List",0.589047036369863,1.1195028443962e-09,0.488921258871978,0.705376153284632,2.2390056887924e-09
