"gene_list","list","odds_ratio","p_value","lower_CI","upper_CI","BH_p_values"
"gene list 1","MIR137 List",0.919726806276939,0.586931797736348,0.687773585735461,1.21278367289154,0.586931797736348
"gene list 2","pLI09 List",0.260303459199681,1.65524690479914e-13,0.1609009977757,0.400831444315772,6.62098761919656e-13
"gene list 3","RBFOX2 List",0.504272495870758,3.90129782908156e-05,0.344995998591202,0.716304100308262,5.20173043877541e-05
"gene list 4","RBFOX3 List",0.52318120542106,3.6505063985974e-05,0.368214918365627,0.7259960144847,5.20173043877541e-05
