"gene_list","list","odds_ratio","p_value","lower_CI","upper_CI","BH_p_values"
"gene list 1","MIR137 List",0.727581381837672,0.190902318362867,0.447255362688502,1.13383272914158,0.381804636725734
"gene list 2","pLI09 List",0.660095048088843,0.0643608937075381,0.405795796808705,1.02857109994011,0.257443574830152
"gene list 3","RBFOX2 List",0.931016677350239,0.837668966564853,0.593038416414159,1.41167192395911,0.837668966564853
"gene list 4","RBFOX3 List",0.918656178238263,0.769112193286499,0.597780618588853,1.3697067809922,0.837668966564853
